harga_juta,luas_tanah,luas_bangunan,bed,bath,carport
950.0,110.0,170.0,5.0,5.0,2.0
690.0,80.0,60.0,3.0,2.0,2.0
808.0,80.0,70.0,3.0,2.0,2.0
800.0,140.0,80.0,3.0,2.0,1.0
3100.0,146.0,280.0,5.0,3.0,1.0
598.0,90.0,45.0,2.0,1.0,1.0
1700.0,135.0,95.0,3.0,2.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
675.0,85.0,45.0,2.0,1.0,1.0
495.0,141.0,60.0,3.0,1.0,1.0
475.0,101.0,70.0,3.0,2.0,1.0
500.0,97.0,55.0,2.0,1.0,1.0
399.0,88.0,45.0,2.0,1.0,1.0
585.0,111.0,55.0,3.0,1.0,1.0
399.0,88.0,45.0,2.0,1.0,1.0
1000.0,112.0,224.0,6.0,3.0,1.0
585.0,111.0,55.0,3.0,1.0,1.0
590.0,85.0,55.0,2.0,1.0,1.0
775.0,113.0,85.0,3.0,2.0,2.0
1250.0,290.0,280.0,6.0,3.0,2.0
775.0,113.0,85.0,3.0,2.0,2.0
2320.0,213.0,135.0,4.0,3.0,2.0
3800.0,290.0,150.0,3.0,3.0,2.0
790.0,80.0,70.0,3.0,2.0,1.0
1400.0,205.0,80.0,3.0,2.0,2.0
800.0,107.0,165.0,4.0,2.0,1.0
950.0,150.0,90.0,3.0,2.0,1.0
750.0,81.0,70.0,3.0,2.0,2.0
2340.0,184.0,135.0,4.0,3.0,1.0
1700.0,118.0,140.0,3.0,2.0,1.0
2400.0,290.0,220.0,4.0,3.0,1.0
1100.0,187.0,150.0,3.0,2.0,1.0
750.0,81.0,70.0,3.0,2.0,2.0
950.0,90.0,62.0,4.0,4.0,1.0
1700.0,118.0,140.0,3.0,2.0,1.0
1300.0,290.0,200.0,6.0,5.0,1.0
405.0,125.0,95.0,2.0,2.0,1.0
950.0,109.0,75.0,2.0,2.0,1.0
800.0,107.0,165.0,4.0,2.0,1.0
598.0,90.0,45.0,2.0,1.0,1.0
950.0,109.0,75.0,2.0,2.0,1.0
1400.0,205.0,80.0,3.0,2.0,2.0
695.0,100.0,65.0,2.0,2.0,1.0
420.0,123.0,120.0,3.0,1.0,1.0
1290.0,99.0,105.0,4.0,3.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
399.0,97.0,45.0,2.0,1.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
800.0,80.0,70.0,3.0,1.0,1.0
695.0,100.0,65.0,2.0,2.0,1.0
399.0,80.0,62.0,2.0,1.0,1.0
1290.0,99.0,105.0,4.0,3.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
600.0,100.0,70.0,3.0,1.0,1.0
3800.0,289.0,280.0,4.0,3.0,2.0
695.0,100.0,65.0,2.0,2.0,1.0
3800.0,290.0,280.0,6.0,5.0,2.0
2800.0,290.0,225.0,5.0,4.0,1.0
790.0,113.0,70.0,3.0,2.0,1.0
